Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2004-11-02,26-136,DAL,,SAC,W (+9),1,43:00,12,19,.632,2,2,1.000,7,8,.875,1,9,10,5,2,2,3,3,33,30.2,+15
2,2,2004-11-03,26-137,DAL,@,NOH,W (+15),1,39:00,7,14,.500,2,5,.400,3,4,.750,2,5,7,5,2,3,3,3,19,17.9,+12
3,3,2004-11-06,26-140,DAL,,MEM,W (+24),1,31:00,8,15,.533,0,2,.000,6,9,.667,1,12,13,0,1,1,3,3,22,15.3,+31
4,4,2004-11-08,26-142,DAL,,GSW,W (+3),1,40:00,8,18,.444,0,2,.000,9,12,.750,0,10,10,2,2,3,1,5,25,19.9,+3
5,5,2004-11-09,26-143,DAL,@,ORL,L (-10),1,32:00,5,16,.313,0,1,.000,10,11,.909,1,7,8,1,1,0,4,5,20,8.9,-5
6,6,2004-11-11,26-145,DAL,@,MIA,W (+20),1,42:00,12,24,.500,4,7,.571,13,13,1.000,1,9,10,4,0,2,2,2,41,33.8,+30
7,7,2004-11-13,26-147,DAL,@,NJN,W (+16),1,43:00,10,18,.556,3,4,.750,8,11,.727,1,6,7,7,4,0,1,3,31,30.4,+20
8,8,2004-11-14,26-148,DAL,@,WAS,W (+9),1,38:00,10,15,.667,3,4,.750,9,11,.818,4,9,13,5,1,0,7,3,32,26.5,+3
9,9,2004-11-16,26-150,DAL,,PHO,L (-6),1,34:00,6,17,.353,0,1,.000,8,10,.800,4,12,16,2,0,2,3,5,20,13.9,-8
10,10,2004-11-19,26-153,DAL,,NYK,W (+2),1,40:00,12,21,.571,0,0,,6,8,.750,3,9,12,0,2,1,5,3,30,20.6,+4
11,11,2004-11-21,26-155,DAL,@,DEN,L (-28),1,18:00,3,7,.429,0,0,,5,5,1.000,0,5,5,0,1,0,0,1,11,9.4,-1
12,12,2004-11-24,26-158,DAL,@,SAS,L (-14),1,35:00,7,18,.389,1,1,1.000,8,9,.889,1,10,11,1,1,0,1,4,23,15.6,-10
13,13,2004-11-26,26-160,DAL,,POR,W (+9),1,42:00,6,17,.353,0,1,.000,11,13,.846,3,11,14,5,1,1,4,2,23,18.5,+11
14,14,2004-11-27,26-161,DAL,@,MEM,W (+13),1,40:00,10,27,.370,0,4,.000,12,13,.923,3,15,18,2,3,1,2,3,32,25.2,+7
15,15,2004-11-30,26-164,DAL,,SAS,L (-18),1,40:00,7,17,.412,1,1,1.000,6,6,1.000,0,13,13,4,1,0,5,4,21,13.0,-12
16,16,2004-12-02,26-166,DAL,,HOU,W (+7),1,49:00,15,32,.469,2,5,.400,21,22,.955,4,12,16,2,3,4,1,2,53,48.0,+12
17,17,2004-12-04,26-168,DAL,,UTA,W (+23),1,41:00,10,19,.526,2,4,.500,8,8,1.000,1,6,7,2,1,4,3,2,30,24.6,+22
18,18,2004-12-06,26-170,DAL,,DET,L (-16),1,41:00,6,24,.250,0,4,.000,15,16,.938,1,7,8,2,1,2,0,3,27,17.6,-5
19,19,2004-12-07,26-171,DAL,@,MIN,W (+10),1,44:00,13,26,.500,2,6,.333,6,8,.750,2,5,7,1,1,0,1,3,34,22.6,+5
20,20,2004-12-09,26-173,DAL,,SEA,L (-5),1,39:00,8,17,.471,2,3,.667,9,10,.900,1,6,7,3,0,2,2,2,27,21.1,-4
21,21,2004-12-11,26-175,DAL,@,HOU,W (+24),1,33:00,8,17,.471,3,6,.500,3,4,.750,1,13,14,4,0,3,0,2,22,21.6,+30
22,22,2004-12-13,26-177,DAL,@,CHI,W (+1),1,43:00,4,18,.222,0,3,.000,13,19,.684,2,7,9,2,0,1,2,2,21,10.4,-1
23,23,2004-12-14,26-178,DAL,,GSW,L (-4),1,41:00,3,13,.231,0,1,.000,7,7,1.000,0,6,6,2,1,1,0,5,13,8.0,-14
24,24,2004-12-18,26-182,DAL,,ATL,W (+22),1,32:00,5,12,.417,0,1,.000,5,10,.500,0,12,12,3,2,1,2,3,15,11.8,+21
25,25,2004-12-21,26-185,DAL,@,NYK,W (+29),1,25:00,7,15,.467,4,8,.500,5,6,.833,0,5,5,1,1,0,0,1,23,17.7,+37
26,26,2004-12-22,26-186,DAL,@,ATL,L (-13),1,41:00,7,19,.368,2,5,.400,7,8,.875,0,7,7,3,1,1,3,6,23,12.6,+4
27,27,2004-12-26,26-190,DAL,@,DEN,W (+14),1,44:00,14,25,.560,1,6,.167,7,8,.875,0,8,8,2,1,1,1,2,36,27.4,+21
28,28,2004-12-28,26-192,DAL,,BOS,W (+19),1,39:00,9,18,.500,1,2,.500,10,10,1.000,0,11,11,4,2,1,2,2,29,26.0,+20
29,29,2005-01-02,26-197,DAL,,MIL,W (+19),1,46:00,14,25,.560,4,7,.571,7,9,.778,1,4,5,6,1,2,4,1,39,30.4,+26
30,30,2005-01-05,26-200,DAL,,LAL,W (+14),1,39:00,8,22,.364,0,3,.000,9,11,.818,0,9,9,4,2,0,4,3,25,14.3,+16
31,31,2005-01-08,26-203,DAL,,IND,W (+20),1,38:00,12,20,.600,2,3,.667,8,8,1.000,0,13,13,3,1,0,1,2,34,30.0,+17
32,32,2005-01-12,26-207,DAL,,HOU,L (-10),1,45:00,10,18,.556,5,7,.714,3,4,.750,1,2,3,0,2,0,1,4,28,19.7,-10
33,33,2005-01-14,26-209,DAL,@,SAS,L (-3),1,47:00,12,28,.429,3,5,.600,9,9,1.000,6,8,14,2,2,1,4,4,36,26.3,-5
34,34,2005-01-15,26-210,DAL,,NJN,W (+5),1,42:00,8,16,.500,0,1,.000,10,10,1.000,0,12,12,3,1,2,1,0,26,25.1,+18
35,35,2005-01-18,26-213,DAL,,WAS,W (+17),1,44:00,8,16,.500,0,1,.000,12,12,1.000,1,10,11,4,3,3,3,4,28,27.0,+23
36,36,2005-01-20,26-215,DAL,,LAC,W (+22),1,41:00,10,24,.417,3,6,.500,5,5,1.000,0,8,8,4,1,0,3,3,28,17.2,+23
37,37,2005-01-21,26-216,DAL,@,CHA,W (+6),1,40:00,7,22,.318,0,4,.000,6,6,1.000,1,8,9,2,0,3,3,1,20,10.6,-4
38,38,2005-01-23,26-218,DAL,,DEN,W (+2),1,44:00,13,25,.520,1,2,.500,8,13,.615,1,10,11,2,3,3,5,3,35,24.7,-2
39,39,2005-01-24,26-219,DAL,@,LAC,L (-10),1,43:00,9,17,.529,2,4,.500,2,5,.400,1,10,11,4,0,3,5,4,22,14.5,-15
40,40,2005-01-26,26-221,DAL,@,POR,W (+7),1,40:00,9,20,.450,0,3,.000,6,7,.857,1,14,15,6,2,2,1,4,24,23.1,+16
41,41,2005-01-29,26-224,DAL,,PHI,L (-4),1,44:00,7,25,.280,0,2,.000,11,14,.786,2,7,9,4,2,6,4,3,25,16.4,-1
42,42,2005-02-01,26-227,DAL,,MIA,W (+5),1,39:00,8,15,.533,0,1,.000,3,3,1.000,0,7,7,4,1,3,1,3,19,17.5,+1
43,43,2005-02-02,26-228,DAL,@,NOH,W (+8),1,39:00,7,21,.333,1,2,.500,5,5,1.000,0,5,5,2,1,2,4,3,20,8.2,+10
44,44,2005-02-04,26-230,DAL,@,IND,L (-1),1,40:00,9,21,.429,2,3,.667,12,14,.857,1,6,7,4,2,0,1,2,32,25.6,-7
45,45,2005-02-06,26-232,DAL,@,TOR,W (+9),1,39:00,13,22,.591,0,2,.000,4,4,1.000,1,10,11,6,0,4,3,4,30,25.9,+12
46,46,2005-02-08,26-234,DAL,,CHI,L (-7),1,42:00,8,24,.333,3,6,.500,8,8,1.000,1,11,12,2,1,0,0,4,27,18.2,-4
47,47,2005-02-11,26-237,DAL,@,SAC,W (+2),1,40:00,10,20,.500,1,2,.500,6,6,1.000,0,7,7,7,0,2,3,1,27,22.0,+11
48,48,2005-02-13,26-239,DAL,@,SEA,W (+3),1,40:00,13,23,.565,1,3,.333,4,5,.800,1,10,11,6,1,1,3,2,31,25.5,+8
49,49,2005-02-15,26-241,DAL,@,GSW,W (+7),1,39:00,10,17,.588,0,1,.000,15,18,.833,2,9,11,5,1,2,3,2,35,32.1,+1
50,50,2005-02-17,26-243,DAL,@,PHO,W (+6),1,44:00,5,15,.333,0,0,,6,6,1.000,1,15,16,4,0,3,5,2,16,11.8,+8
51,51,2005-02-23,26-249,DAL,@,UTA,W (+18),1,38:00,7,21,.333,0,2,.000,15,16,.938,2,6,8,2,1,1,2,3,29,19.8,+13
52,52,2005-02-24,26-250,DAL,,SAC,W (+9),1,44:00,14,25,.560,1,3,.333,5,6,.833,1,10,11,2,2,2,0,1,34,29.8,+3
53,53,2005-02-26,26-252,DAL,,PHO,L (-1),1,41:00,8,18,.444,1,1,1.000,9,12,.750,4,12,16,5,4,1,1,3,26,27.8,-3
54,54,2005-02-28,26-254,DAL,,NOH,W (+4),1,37:00,9,19,.474,2,6,.333,8,8,1.000,1,10,11,1,1,3,5,3,28,19.6,+2
55,55,2005-03-02,26-256,DAL,@,LAC,L (-9),1,37:00,8,15,.533,1,3,.333,8,11,.727,0,5,5,4,2,1,4,3,25,18.3,-2
56,56,2005-03-04,26-258,DAL,@,LAL,L (-5),1,42:00,7,17,.412,1,3,.333,8,10,.800,3,10,13,3,1,1,0,5,23,20.0,-8
57,57,2005-03-10,26-264,DAL,,LAL,L (-5),1,42:00,6,19,.316,0,4,.000,13,15,.867,3,8,11,4,0,1,1,2,25,19.5,-2
58,58,2005-03-11,26-265,DAL,@,MIL,W (+2),1,40:00,10,21,.476,3,4,.750,6,7,.857,0,9,9,4,0,0,0,1,29,23.0,-5
59,59,2005-03-13,26-267,DAL,@,MIN,W (+9),1,41:00,9,22,.409,0,3,.000,3,3,1.000,2,8,10,1,1,0,0,3,21,13.5,+16
60,60,2005-03-15,26-269,DAL,,MIN,L (-9),1,46:00,6,19,.316,0,1,.000,9,10,.900,4,11,15,4,1,2,2,5,21,17.0,-6
61,61,2005-03-17,26-271,DAL,,POR,W (+4),1,36:00,4,17,.235,1,3,.333,6,7,.857,0,9,9,2,0,3,1,2,15,8.7,-1
62,62,2005-03-19,26-273,DAL,,CHA,W (+11),1,40:00,12,20,.600,1,4,.250,8,8,1.000,0,6,6,1,2,0,3,5,33,23.3,+19
63,63,2005-03-21,26-275,DAL,,NOH,W (+17),1,30:00,6,11,.545,2,4,.500,11,11,1.000,0,8,8,2,2,2,2,3,25,23.7,+36
64,64,2005-03-23,26-277,DAL,@,GSW,W (+12),1,39:00,9,14,.643,2,4,.500,9,10,.900,2,8,10,2,2,0,6,1,29,23.2,+3
65,65,2005-03-24,26-278,DAL,@,SAC,L (-8),1,44:00,13,24,.542,2,4,.500,7,9,.778,1,7,8,5,2,1,3,4,35,27.0,-4
66,66,2005-03-26,26-280,DAL,,CLE,W (+31),1,31:00,3,12,.250,0,0,,5,6,.833,0,14,14,2,0,5,3,3,11,8.3,+29
67,67,2005-03-28,26-282,DAL,@,DET,W (+7),1,37:00,7,14,.500,0,2,.000,8,8,1.000,1,9,10,3,2,1,0,2,22,22.4,+1
68,68,2005-03-30,26-284,DAL,@,BOS,W (+12),1,36:00,11,20,.550,3,5,.600,11,12,.917,0,9,9,5,1,0,3,3,36,29.0,+10
69,69,2005-04-01,26-286,DAL,@,PHI,W (+17),1,34:00,7,17,.412,1,3,.333,14,14,1.000,1,6,7,4,2,1,2,2,29,25.1,+19
70,70,2005-04-03,26-288,DAL,@,CLE,L (-20),1,40:00,8,19,.421,3,4,.750,2,2,1.000,1,6,7,3,0,2,2,2,21,14.1,-22
71,71,2005-04-05,26-290,DAL,,ORL,W (+9),1,29:00,8,13,.615,3,4,.750,2,3,.667,1,8,9,3,1,1,3,4,21,17.0,+17
72,72,2005-04-07,26-292,DAL,,SAS,W (+36),1,27:00,6,13,.462,0,0,,4,4,1.000,1,7,8,0,1,1,0,0,16,13.8,+23
73,73,2005-04-09,26-294,DAL,,UTA,W (+7),1,40:00,8,15,.533,1,1,1.000,7,9,.778,2,7,9,5,0,5,2,3,24,23.2,+3
74,74,2005-04-11,26-296,DAL,,MEM,W (+21),1,32:00,6,13,.462,0,0,,7,7,1.000,2,6,8,2,0,3,1,1,19,17.6,+13
75,75,2005-04-13,26-298,DAL,@,SEA,W (+5),1,36:00,11,16,.688,0,1,.000,9,10,.900,0,7,7,2,1,0,2,4,31,24.7,+11
76,76,2005-04-17,26-302,DAL,@,LAL,W (+2),1,38:00,6,13,.462,0,2,.000,12,14,.857,2,6,8,3,4,2,3,4,24,22.6,+13
77,77,2005-04-19,26-304,DAL,,SEA,W (+5),1,33:00,9,13,.692,0,0,,3,3,1.000,1,1,2,3,0,1,1,2,21,17.5,-9
78,78,2005-04-20,26-305,DAL,@,MEM,W (+20),1,26:00,3,11,.273,0,0,,10,12,.833,2,6,8,5,1,0,1,2,16,14.6,+27
